customerid,systemloanid,loannumber,loanamount,totaldue,termdays,closeddate,referredby,Convert_creationdate,Convert_approved_date,Convert_firstduedate,Convert_firstrepaiddate,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,level_of_education_clients,Age
8a8589c253ace09b0153af6ba58f1f31,301627292,3,10000,13000,30,34:04.0,No_referee,6/2/2016 13:27,6/2/2016 14:27,7/4/2016 0:00,7/4/2016 11:19,Savings,3.227945,6.5866683,UBA,Permanent,Unknow,38
8a8589c253ace09b0153af6ba58f1f31,301621095,2,10000,11500,15,02:58.0,No_referee,5/16/2016 8:13,5/16/2016 9:13,5/31/2016 0:00,6/1/2016 15:22,Savings,3.227945,6.5866683,UBA,Permanent,Unknow,38
8a8589c253ace09b0153af6ba58f1f31,301803054,4,20000,23800,30,49:12.0,No_referee,1/26/2017 15:34,1/26/2017 16:34,2/27/2017 0:00,3/20/2017 20:34,Savings,3.227945,6.5866683,UBA,Permanent,Unknow,38
8a8589c253ace09b0153af6ba58f1f31,301943779,5,15000,18375,30,13:01.0,No_referee,6/19/2017 14:19,6/19/2017 15:20,7/19/2017 0:00,7/17/2017 13:02,Savings,3.227945,6.5866683,UBA,Permanent,Unknow,38
8a8589c253ace09b0153af6ba58f1f31,301604313,1,10000,13000,30,02:46.0,No_referee,3/25/2016 20:24,3/25/2016 21:24,4/25/2016 0:00,4/23/2016 6:23,Savings,3.227945,6.5866683,UBA,Permanent,Unknow,38
8a858e225a28c713015a30db5c48383d,301927294,3,10000,13000,30,14:01.0,No_referee,6/5/2017 6:42,6/5/2017 7:42,7/5/2017 0:00,7/1/2017 16:03,Savings,5.2483677,13.0598637,UBA,Permanent,Unknow,44
8a858e225a28c713015a30db5c48383d,301889656,2,10000,13000,30,37:31.0,No_referee,5/4/2017 13:45,5/4/2017 14:45,6/5/2017 0:00,5/30/2017 11:27,Savings,5.2483677,13.0598637,UBA,Permanent,Unknow,44
8a858e225a28c713015a30db5c48383d,301873885,1,10000,11500,15,07:33.0,No_referee,4/19/2017 20:20,4/19/2017 21:20,5/4/2017 0:00,5/4/2017 9:52,Savings,5.2483677,13.0598637,UBA,Permanent,Unknow,44
8a858f5b5bee1b11015bf1b4ffea5abb,301899178,1,10000,11500,15,30:04.0,No_referee,5/10/2017 11:23,5/10/2017 12:24,5/25/2017 0:00,5/26/2017 19:19,Savings,3.3716191,6.6051041,GT Bank,Permanent,Unknow,30
8a858f5b5bee1b11015bf1b4ffea5abb,301923684,2,10000,13000,30,52:20.0,No_referee,6/1/2017 8:39,6/1/2017 9:39,7/3/2017 0:00,6/23/2017 18:42,Savings,3.3716191,6.6051041,GT Bank,Permanent,Unknow,30
8a858fe758dc437a0159018589dc5df0,301782559,2,10000,13000,30,01:02.0,No_referee,12/28/2016 8:18,12/28/2016 9:19,1/27/2017 0:00,1/27/2017 10:45,Savings,3.9505415,7.4417655,Access Bank,Permanent,Unknow,30
8a858fe758dc437a0159018589dc5df0,301916061,8,30000,34500,30,29:04.0,No_referee,5/23/2017 7:44,5/23/2017 8:44,6/22/2017 0:00,6/22/2017 19:18,Savings,3.9505415,7.4417655,Access Bank,Permanent,Unknow,30
8a858fe758dc437a0159018589dc5df0,301848036,6,20000,23800,30,41:58.0,No_referee,3/28/2017 7:35,3/28/2017 8:35,4/27/2017 0:00,4/25/2017 13:26,Savings,3.9505415,7.4417655,Access Bank,Permanent,Unknow,30
8a858fe758dc437a0159018589dc5df0,301879987,7,30000,34400,30,44:38.0,No_referee,4/25/2017 12:49,4/25/2017 13:49,5/25/2017 0:00,5/22/2017 9:29,Savings,3.9505415,7.4417655,Access Bank,Permanent,Unknow,30
8a858fe758dc437a0159018589dc5df0,301822118,5,20000,23800,30,01:42.0,No_referee,2/20/2017 7:33,2/20/2017 8:34,3/22/2017 0:00,3/24/2017 14:46,Savings,3.9505415,7.4417655,Access Bank,Permanent,Unknow,30
8a858fe758dc437a0159018589dc5df0,301804253,3,10000,11500,15,37:29.0,No_referee,1/27/2017 15:35,1/27/2017 16:35,2/13/2017 0:00,2/2/2017 14:22,Savings,3.9505415,7.4417655,Access Bank,Permanent,Unknow,30
8a858fe758dc437a0159018589dc5df0,301774302,1,10000,11500,15,23:55.0,No_referee,12/15/2016 8:47,12/15/2016 9:48,12/30/2016 0:00,12/26/2016 10:08,Savings,3.9505415,7.4417655,Access Bank,Permanent,Unknow,30
8a858fe758dc437a0159018589dc5df0,301948464,9,30000,34500,30,18:43.0,No_referee,6/22/2017 22:35,6/22/2017 23:35,7/24/2017 0:00,7/26/2017 13:08,Savings,3.9505415,7.4417655,Access Bank,Permanent,Unknow,30
8a858fe758dc437a0159018589dc5df0,301808586,4,20000,21900,15,09:49.0,No_referee,2/2/2017 13:37,2/2/2017 14:37,2/17/2017 0:00,2/20/2017 7:54,Savings,3.9505415,7.4417655,Access Bank,Permanent,Unknow,30
8a858efd5b39cf3d015b3cb3b3882cc7,301932356,5,20000,22250,15,37:56.0,No_referee,6/9/2017 8:04,6/9/2017 9:04,6/28/2017 0:00,6/26/2017 10:27,Savings,3.3971517,6.45159,First Bank,Permanent,Unknow,31
8a858efd5b39cf3d015b3cb3b3882cc7,301874623,2,10000,11500,15,17:03.0,No_referee,4/20/2017 13:39,4/20/2017 14:39,5/5/2017 0:00,5/4/2017 19:01,Savings,3.3971517,6.45159,First Bank,Permanent,Unknow,31
8a858efd5b39cf3d015b3cb3b3882cc7,301890204,3,10000,11500,15,25:27.0,No_referee,5/4/2017 18:46,5/4/2017 19:46,5/19/2017 0:00,5/16/2017 10:10,Savings,3.3971517,6.45159,First Bank,Permanent,Unknow,31
8a858efd5b39cf3d015b3cb3b3882cc7,301909193,4,20000,22250,15,45:10.0,No_referee,5/16/2017 9:40,5/16/2017 10:40,5/31/2017 0:00,5/30/2017 18:35,Savings,3.3971517,6.45159,First Bank,Permanent,Unknow,31
8a858efd5b39cf3d015b3cb3b3882cc7,301952288,6,20000,22250,15,44:50.0,No_referee,6/26/2017 12:22,6/26/2017 13:22,7/11/2017 0:00,7/10/2017 13:34,Savings,3.3971517,6.45159,First Bank,Permanent,Unknow,31
8a858efd5b39cf3d015b3cb3b3882cc7,301855718,1,10000,11500,15,39:01.0,No_referee,4/5/2017 6:16,4/5/2017 7:17,4/20/2017 0:00,4/19/2017 12:23,Savings,3.3971517,6.45159,First Bank,Permanent,Unknow,31
8a858faf56b7821c0156cdaa248222fd,301750865,2,10000,13000,30,06:08.0,No_referee,10/27/2016 19:38,10/27/2016 20:38,11/28/2016 0:00,12/2/2016 0:32,Savings,3.3003407,6.5846816,GT Bank,Self-Employed,Unknow,29
8a858faf56b7821c0156cdaa248222fd,301697743,1,10000,13000,30,36:50.0,No_referee,8/27/2016 20:23,8/27/2016 21:23,9/26/2016 0:00,9/22/2016 16:21,Savings,3.3003407,6.5846816,GT Bank,Self-Employed,Unknow,29
8a858e255557edfe015573404b8a167f,301907410,2,10000,13000,30,24:32.0,No_referee,5/15/2017 10:15,5/15/2017 11:17,6/14/2017 0:00,6/9/2017 15:14,Savings,3.3535824,6.595419,GT Bank,Permanent,Unknow,44
8a858e255557edfe015573404b8a167f,301935497,3,10000,13000,30,54:32.0,No_referee,6/12/2017 6:51,6/12/2017 7:51,7/12/2017 0:00,7/10/2017 13:44,Savings,3.3535824,6.595419,GT Bank,Permanent,Unknow,44
8a858e255557edfe015573404b8a167f,301636080,1,8000,10400,30,15:01.0,No_referee,6/21/2016 13:58,6/21/2016 14:58,7/21/2016 0:00,7/18/2016 11:59,Savings,3.3535824,6.595419,GT Bank,Permanent,Unknow,44
8a858fa05c82907b015c82bc5d911e17,301946952,1,10000,11500,15,07:35.0,No_referee,6/21/2017 19:34,6/21/2017 20:35,7/6/2017 0:00,7/3/2017 15:57,Savings,3.8705617,7.3607833,Access Bank,Permanent,Unknow,31
8a858e69566ae5b80156711deca24df3,301826745,5,20000,23800,30,02:21.0,No_referee,2/26/2017 13:03,2/26/2017 14:03,3/28/2017 0:00,3/15/2017 7:47,Other,3.2711628,6.4729382,GT Bank,Permanent,Unknow,36
8a858e69566ae5b80156711deca24df3,301867459,7,25000,29000,30,11:35.0,No_referee,4/13/2017 15:38,4/13/2017 16:38,5/15/2017 0:00,5/15/2017 15:56,Other,3.2711628,6.4729382,GT Bank,Permanent,Unknow,36
8a858e69566ae5b80156711deca24df3,301838511,6,25000,29000,30,27:33.0,No_referee,3/15/2017 7:09,3/15/2017 8:09,4/14/2017 0:00,4/13/2017 16:12,Other,3.2711628,6.4729382,GT Bank,Permanent,Unknow,36
8a858e69566ae5b80156711deca24df3,301675221,1,10000,13000,30,21:35.0,No_referee,8/9/2016 21:24,8/9/2016 22:24,9/8/2016 0:00,9/2/2016 13:06,Other,3.2711628,6.4729382,GT Bank,Permanent,Unknow,36
8a858e69566ae5b80156711deca24df3,301774924,2,10000,13000,30,37:04.0,No_referee,12/16/2016 3:05,12/16/2016 4:05,1/16/2017 0:00,1/16/2017 20:21,Other,3.2711628,6.4729382,GT Bank,Permanent,Unknow,36
8a858e69566ae5b80156711deca24df3,301794645,3,20000,23800,30,38:13.0,No_referee,1/16/2017 20:23,1/16/2017 21:23,2/15/2017 0:00,1/26/2017 17:23,Other,3.2711628,6.4729382,GT Bank,Permanent,Unknow,36
8a858e69566ae5b80156711deca24df3,301808197,4,20000,23800,30,34:39.0,No_referee,2/1/2017 22:57,2/1/2017 23:57,3/3/2017 0:00,2/23/2017 23:19,Other,3.2711628,6.4729382,GT Bank,Permanent,Unknow,36
8a858e69566ae5b80156711deca24df3,301908043,8,25000,28750,30,11:29.0,No_referee,5/15/2017 15:26,5/15/2017 16:26,6/14/2017 0:00,5/20/2017 10:56,Other,3.2711628,6.4729382,GT Bank,Permanent,Unknow,36
