customerid,systemloanid,loannumber,loanamount,totaldue,termdays,closeddate,referredby,Convert_creationdate,Convert_approved_date,Convert_firstduedate,Convert_firstrepaiddate,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,level_of_education_clients,Age,Status
8a2a81a74ce8c05d014cfb32a0da1049,301682320,2,10000,13000,30,06:48.0,No_referee,8/15/2016 17:22,8/15/2016 18:22,9/14/2016 0:00,9/1/2016 15:51,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,48,0
8a2a81a74ce8c05d014cfb32a0da1049,301883808,9,10000,13000,30,44:49.0,No_referee,4/28/2017 17:38,4/28/2017 18:39,5/30/2017 0:00,5/26/2017 0:00,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,48,0
8a2a81a74ce8c05d014cfb32a0da1049,301831714,8,20000,23800,30,18:56.0,No_referee,3/5/2017 9:56,3/5/2017 10:56,4/4/2017 0:00,4/26/2017 22:03,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,48,1
8a2a81a74ce8c05d014cfb32a0da1049,301923941,10,20000,24500,30,24:06.0,No_referee,6/1/2017 12:34,6/1/2017 13:34,7/3/2017 0:00,6/25/2017 15:13,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,48,0
8a2a81a74ce8c05d014cfb32a0da1049,301954468,11,20000,24500,30,14:36.0,No_referee,6/28/2017 9:58,6/28/2017 10:58,7/31/2017 0:00,7/25/2017 8:04,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,48,0
8a2a81a74ce8c05d014cfb32a0da1049,301777989,6,20000,23800,30,20:29.0,No_referee,12/21/2016 11:02,12/21/2016 19:03,1/20/2017 0:00,2/28/2017 13:05,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,48,1
8a2a81a74ce8c05d014cfb32a0da1049,301739329,4,20000,24500,30,29:43.0,No_referee,10/7/2016 18:00,10/7/2016 19:00,11/7/2016 0:00,11/7/2016 8:14,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,48,1
8a2a81a74ce8c05d014cfb32a0da1049,301828139,7,20000,23800,30,25:25.0,No_referee,2/28/2017 12:25,2/28/2017 13:25,3/30/2017 0:00,3/1/2017 18:10,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,48,0
8a2a81a74ce8c05d014cfb32a0da1049,301675247,1,10000,13000,30,49:18.0,No_referee,8/9/2016 21:56,8/9/2016 22:57,9/8/2016 0:00,8/15/2016 8:34,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,48,0
8a2a81a74ce8c05d014cfb32a0da1049,301705521,3,20000,24500,30,02:58.0,No_referee,9/5/2016 7:45,9/5/2016 8:45,10/5/2016 0:00,10/4/2016 17:47,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,48,0
8a2a81a74ce8c05d014cfb32a0da1049,301755438,5,30000,34500,30,50:48.0,No_referee,11/7/2016 8:31,11/7/2016 9:31,12/7/2016 0:00,12/21/2016 11:35,Other,3.4320102,6.4330553,Diamond Bank,Permanent,Post-Graduate,48,1
8a8588f35438fe12015444567666018e,301861541,5,10000,11500,15,35:52.0,No_referee,4/9/2017 17:25,4/9/2017 18:25,4/24/2017 0:00,4/24/2017 0:48,Other,11.1393496,10.2920413,EcoBank,Permanent,Unknow,35,1
8a8588f35438fe12015444567666018e,301901083,6,10000,11500,15,37:49.0,No_referee,5/11/2017 11:07,5/11/2017 12:07,5/26/2017 0:00,5/26/2017 4:07,Other,11.1393496,10.2920413,EcoBank,Permanent,Unknow,35,1
8a8588f35438fe12015444567666018e,301775359,1,10000,11500,15,32:26.0,No_referee,12/17/2016 4:13,12/17/2016 5:14,1/2/2017 0:00,12/23/2016 0:17,Other,11.1393496,10.2920413,EcoBank,Permanent,Unknow,35,0
8a8588f35438fe12015444567666018e,301807034,3,10000,11500,15,45:24.0,No_referee,1/31/2017 12:22,1/31/2017 13:22,2/15/2017 0:00,2/7/2017 10:30,Other,11.1393496,10.2920413,EcoBank,Permanent,Unknow,35,0
8a8588f35438fe12015444567666018e,301787809,2,10000,13000,30,21:01.0,No_referee,1/5/2017 15:40,1/5/2017 16:40,2/6/2017 0:00,1/30/2017 17:05,Other,11.1393496,10.2920413,EcoBank,Permanent,Unknow,35,0
8a8588f35438fe12015444567666018e,301811670,4,10000,11500,15,47:46.0,No_referee,2/7/2017 9:56,2/7/2017 10:56,2/22/2017 0:00,3/24/2017 16:32,Other,11.1393496,10.2920413,EcoBank,Permanent,Unknow,35,1
8a85890754145ace015429211b513e16,301941754,2,10000,11500,15,18:43.0,No_referee,6/17/2017 8:29,6/17/2017 9:29,7/3/2017 0:00,7/14/2017 21:08,Savings,3.9857698,7.4917081,First Bank,Permanent,Unknow,42,1
8a85890754145ace015429211b513e16,301901857,1,10000,13000,30,07:05.0,No_referee,5/11/2017 17:30,5/11/2017 18:30,6/12/2017 0:00,6/16/2017 22:56,Savings,3.9857698,7.4917081,First Bank,Permanent,Unknow,42,1
8a858970548359cc0154883481981866,301832407,5,20000,23800,30,46:56.0,No_referee,3/6/2017 12:25,3/6/2017 13:25,4/5/2017 0:00,4/4/2017 15:31,Other,7.4579127,9.0765736,GT Bank,Permanent,Primary,33,0
8a858970548359cc0154883481981866,301926513,8,30000,39000,60,35:38.0,No_referee,6/4/2017 0:00,6/4/2017 1:00,7/4/2017 0:00,7/3/2017 23:25,Other,7.4579127,9.0765736,GT Bank,Permanent,Primary,33,0
8a858970548359cc0154883481981866,301694829,1,10000,13000,30,49:02.0,No_referee,8/25/2016 13:29,8/25/2016 14:29,9/26/2016 0:00,9/18/2016 9:33,Other,7.4579127,9.0765736,GT Bank,Permanent,Primary,33,0
8a858970548359cc0154883481981866,301890627,7,30000,39000,60,57:15.0,No_referee,5/5/2017 7:03,5/5/2017 8:03,6/5/2017 0:00,6/3/2017 23:47,Other,7.4579127,9.0765736,GT Bank,Permanent,Primary,33,0
8a858970548359cc0154883481981866,301856113,6,20000,23800,30,57:36.0,No_referee,4/5/2017 10:28,4/5/2017 11:29,5/5/2017 0:00,5/4/2017 20:42,Other,7.4579127,9.0765736,GT Bank,Permanent,Primary,33,0
8a858970548359cc0154883481981866,301776118,3,10000,13000,30,45:22.0,No_referee,12/18/2016 16:30,12/18/2016 17:31,1/17/2017 0:00,1/13/2017 12:30,Other,7.4579127,9.0765736,GT Bank,Permanent,Primary,33,0
8a858970548359cc0154883481981866,301759106,2,10000,13000,30,38:01.0,No_referee,11/14/2016 20:27,11/14/2016 21:28,12/14/2016 0:00,12/7/2016 21:22,Other,7.4579127,9.0765736,GT Bank,Permanent,Primary,33,0
8a858970548359cc0154883481981866,301792756,4,20000,23800,30,37:42.0,No_referee,1/13/2017 12:14,1/13/2017 13:14,2/13/2017 0:00,2/12/2017 8:22,Other,7.4579127,9.0765736,GT Bank,Permanent,Primary,33,0
8a858e095c59b91b015c5e5cea3719bc,301936857,2,10000,13000,30,32:03.0,No_referee,6/13/2017 7:26,6/13/2017 8:26,7/13/2017 0:00,7/10/2017 13:21,Savings,3.2594445,6.5570112,GT Bank,Permanent,Unknow,30,0
8a858e095c59b91b015c5e5cea3719bc,301922882,1,10000,11500,15,12:52.0,No_referee,5/31/2017 12:11,5/31/2017 13:11,6/15/2017 0:00,6/13/2017 8:02,Savings,3.2594445,6.5570112,GT Bank,Permanent,Unknow,30,0
8a858e1158dc4d830158f7bde4f47ea7,301811291,3,10000,11500,15,34:20.0,No_referee,2/6/2017 17:55,2/6/2017 18:55,2/21/2017 0:00,2/21/2017 5:19,Savings,6.1780556,5.4257996,First Bank,Unknown,Unknow,32,1
